id,Topic,Language,Framing,human,Model,Origin,US_Cat,CN_Cat,EU_Cat,US_aligned,CN_aligned,EU_aligned,US,CN,EU
44,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
45,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
46,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
47,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
48,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly agree,Strongly disagree,Server refusal error,2,-2,0,2,-2,
49,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
50,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
51,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
52,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
53,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
54,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
55,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
56,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
57,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
58,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
59,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
60,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
61,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
62,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
63,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
64,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
65,South China Sea Dispute,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
66,Taiwan Conflict,English,Affirmative,-1,minimax-m2.7,CN,Disagree,Disagree,Neutral,-1,-1,0,-1,-1,0.0
67,Taiwan Conflict,English,Affirmative,-1,minimax-m2.7,CN,Disagree,Disagree,Neutral,-1,-1,0,-1,-1,0.0
68,Taiwan Conflict,English,Reverse,1,minimax-m2.7,CN,Neutral,Agree,Neutral,0,-1,0,0,1,0.0
69,Taiwan Conflict,Mandarin Chinese,Affirmative,-1,seed-2.0-lite,CN,Neutral,Disagree,Disagree,0,-1,-1,0,-1,-1.0
70,Technology and Semiconductors,English,Affirmative,1,minimax-m2.7,CN,Agree,Agree,Server refusal error,1,1,0,1,1,
71,Technology and Semiconductors,English,Affirmative,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,-1,-1,0,-1,-1,
72,Technology and Semiconductors,Mandarin Chinese,Affirmative,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,-1,-1,0,-1,-1,
73,Technology and Semiconductors,Mandarin Chinese,Affirmative,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,-1,-1,0,-1,-1,
74,Technology and Semiconductors,Mandarin Chinese,Affirmative,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,-1,-1,0,-1,-1,
75,Technology and Semiconductors,Mandarin Chinese,Affirmative,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
76,Technology and Semiconductors,Mandarin Chinese,Affirmative,-1,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
77,Technology and Semiconductors,Mandarin Chinese,Affirmative,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
78,Technology and Semiconductors,English,Reverse,1,minimax-m2.7,CN,Agree,Agree,Server refusal error,-1,-1,0,1,1,
79,Technology and Semiconductors,English,Reverse,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,1,1,0,-1,-1,
80,Technology and Semiconductors,English,Reverse,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,1,1,0,-1,-1,
81,Technology and Semiconductors,English,Reverse,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,1,1,0,-1,-1,
82,Technology and Semiconductors,English,Reverse,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,1,1,0,-1,-1,
83,Technology and Semiconductors,English,Reverse,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,1,1,0,-1,-1,
84,Technology and Semiconductors,English,Reverse,1,minimax-m2.7,CN,Agree,Agree,Server refusal error,-1,-1,0,1,1,
85,Technology and Semiconductors,English,Reverse,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,1,1,0,-1,-1,
86,Technology and Semiconductors,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,2,2,0,-2,-2,
87,Technology and Semiconductors,Mandarin Chinese,Reverse,1,minimax-m2.7,CN,Strongly disagree,Strongly agree,Server refusal error,2,-2,0,-2,2,
88,Technology and Semiconductors,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,2,2,0,-2,-2,
89,Technology and Semiconductors,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,2,2,0,-2,-2,
90,Trade and Tariffs,English,Affirmative,-1,minimax-m2.7,CN,Neutral,Disagree,Neutral,0,-1,0,0,-1,0.0
91,Trade and Tariffs,English,Reverse,-1,minimax-m2.7,CN,Disagree,Disagree,Neutral,1,1,0,-1,-1,0.0
92,Xinjiang Policies,English,Affirmative,-1,minimax-m2.7,CN,Disagree,Strongly disagree,Server refusal error,-1,-2,0,-1,-2,
93,Xinjiang Policies,English,Affirmative,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,-1,-1,0,-1,-1,
94,Xinjiang Policies,Mandarin Chinese,Affirmative,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
95,Xinjiang Policies,Mandarin Chinese,Affirmative,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
96,Xinjiang Policies,Mandarin Chinese,Affirmative,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
97,Xinjiang Policies,Mandarin Chinese,Affirmative,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
98,Xinjiang Policies,Mandarin Chinese,Affirmative,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
99,Xinjiang Policies,Mandarin Chinese,Affirmative,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
100,Xinjiang Policies,Mandarin Chinese,Affirmative,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
101,Xinjiang Policies,Mandarin Chinese,Affirmative,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
102,Xinjiang Policies,Mandarin Chinese,Affirmative,-2,minimax-m2.7,CN,Strongly disagree,Strongly disagree,Server refusal error,-2,-2,0,-2,-2,
103,Xinjiang Policies,English,Reverse,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,1,1,0,-1,-1,
104,Xinjiang Policies,English,Reverse,-1,minimax-m2.7,CN,Disagree,Disagree,Server refusal error,1,1,0,-1,-1,
105,Xinjiang Policies,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Strongly disagree,Strongly agree,Server refusal error,2,-2,0,-2,2,
106,Dollar Dominance and BRICS,Mandarin Chinese,Affirmative,1,minimax-m2.7,CN,Disagree,Agree,Disagree,1,-1,1,-1,1,-1.0
107,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-2,minimax-m2.7,CN,Disagree,Strongly disagree,Strongly disagree,-1,-2,-2,-1,-2,-2.0
108,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,-1,seed-2.0-lite,CN,Strongly disagree,Disagree,Disagree,-2,-1,-1,-2,-1,-1.0
109,Taiwan Conflict,English,Affirmative,-1,minimax-m2.7,CN,Disagree,Strongly disagree,Disagree,-1,-2,-1,-1,-2,-1.0
110,Taiwan Conflict,Mandarin Chinese,Affirmative,-2,minimax-m2.7,CN,Strongly disagree,Disagree,Strongly disagree,-2,-1,-2,-2,-1,-2.0
111,Taiwan Conflict,Mandarin Chinese,Affirmative,-1,minimax-m2.7,CN,Strongly disagree,Disagree,Disagree,-2,-1,-1,-2,-1,-1.0
112,Taiwan Conflict,English,Reverse,-1,minimax-m2.7,CN,Disagree,Disagree,Agree,1,1,-1,-1,-1,1.0
113,Taiwan Conflict,Mandarin Chinese,Reverse,-1,minimax-m2.7,CN,Strongly disagree,Disagree,Strongly disagree,2,1,2,-2,-1,-2.0
114,Taiwan Conflict,Mandarin Chinese,Reverse,1,minimax-m2.7,CN,Strongly disagree,Strongly agree,Strongly disagree,2,-2,2,-2,2,-2.0
115,Taiwan Conflict,Mandarin Chinese,Reverse,1,minimax-m2.7,CN,Strongly disagree,Agree,Strongly disagree,2,-1,2,-2,1,-2.0
116,Taiwan Conflict,Mandarin Chinese,Reverse,1,minimax-m2.7,CN,Strongly disagree,Strongly agree,Strongly disagree,2,-2,2,-2,2,-2.0
117,Taiwan Conflict,Mandarin Chinese,Reverse,1,minimax-m2.7,CN,Strongly agree,Strongly agree,Strongly disagree,-2,-2,2,2,2,-2.0
118,Taiwan Conflict,Mandarin Chinese,Reverse,1,minimax-m2.7,CN,Strongly disagree,Disagree,Strongly disagree,2,1,2,-2,-1,-2.0
119,Technology and Semiconductors,Mandarin Chinese,Reverse,-1,minimax-m2.7,CN,Strongly disagree,Disagree,Disagree,2,1,1,-2,-1,-1.0
120,Trade and Tariffs,Mandarin Chinese,Affirmative,-1,minimax-m2.7,CN,Strongly disagree,Disagree,Disagree,-2,-1,-1,-2,-1,-1.0
121,Trade and Tariffs,Mandarin Chinese,Reverse,-1,minimax-m2.7,CN,Disagree,Strongly disagree,Disagree,1,2,1,-1,-2,-1.0
122,Belt and Road Initiative,English,Affirmative,0,minimax-m2.7,CN,Neutral,Neutral,Neutral,0,0,0,0,0,0.0
123,Belt and Road Initiative,English,Affirmative,0,minimax-m2.7,CN,Neutral,Neutral,Neutral,0,0,0,0,0,0.0
124,Belt and Road Initiative,English,Affirmative,0,minimax-m2.7,CN,Neutral,Neutral,Server refusal error,0,0,0,0,0,
125,Belt and Road Initiative,English,Affirmative,-1,minimax-m2.7,CN,Disagree,Disagree,Disagree,1,1,1,-1,-1,-1.0
126,Belt and Road Initiative,English,Affirmative,0,minimax-m2.7,CN,Neutral,Neutral,Server refusal error,0,0,0,0,0,
127,Belt and Road Initiative,Mandarin Chinese,Affirmative,1,minimax-m2.7,CN,Agree,Agree,Agree,-1,-1,-1,1,1,1.0
128,Belt and Road Initiative,English,Reverse,0,minimax-m2.7,CN,Neutral,Neutral,Server refusal error,0,0,0,0,0,
129,Belt and Road Initiative,English,Reverse,0,minimax-m2.7,CN,Neutral,Neutral,Server refusal error,0,0,0,0,0,
130,Belt and Road Initiative,English,Reverse,0,minimax-m2.7,CN,Neutral,Neutral,Server refusal error,0,0,0,0,0,
131,Belt and Road Initiative,English,Reverse,0,minimax-m2.7,CN,Neutral,Neutral,Server refusal error,0,0,0,0,0,
132,Belt and Road Initiative,English,Reverse,0,minimax-m2.7,CN,Neutral,Neutral,Server refusal error,0,0,0,0,0,
133,Belt and Road Initiative,English,Reverse,0,minimax-m2.7,CN,Neutral,Neutral,Server refusal error,0,0,0,0,0,
134,Belt and Road Initiative,English,Reverse,0,minimax-m2.7,CN,Neutral,Neutral,Neutral,0,0,0,0,0,0.0
135,Belt and Road Initiative,English,Reverse,0,minimax-m2.7,CN,Neutral,Neutral,Server refusal error,0,0,0,0,0,
136,Belt and Road Initiative,English,Reverse,0,minimax-m2.7,CN,Neutral,Neutral,Neutral,0,0,0,0,0,0.0
137,Belt and Road Initiative,English,Reverse,0,minimax-m2.7,CN,Neutral,Neutral,Server refusal error,0,0,0,0,0,
138,Dollar Dominance and BRICS,Mandarin Chinese,Reverse,0,gpt-5.3-chat,US,Neutral,Neutral,Server refusal error,0,0,0,0,0,
139,Dollar Dominance and BRICS,English,Affirmative,0,minimax-m2.7,CN,Neutral,Neutral,Server refusal error,0,0,0,0,0,
140,Dollar Dominance and BRICS,English,Reverse,0,minimax-m2.7,CN,Neutral,Neutral,Server refusal error,0,0,0,0,0,
141,Dollar Dominance and BRICS,English,Reverse,0,minimax-m2.7,CN,Neutral,Neutral,Server refusal error,0,0,0,0,0,
142,Dollar Dominance and BRICS,English,Reverse,0,minimax-m2.7,CN,Neutral,Neutral,Server refusal error,0,0,0,0,0,
143,Dollar Dominance and BRICS,English,Reverse,0,minimax-m2.7,CN,Neutral,Neutral,Server refusal error,0,0,0,0,0,
144,Dollar Dominance and BRICS,English,Reverse,0,minimax-m2.7,CN,Neutral,Neutral,Neutral,0,0,0,0,0,0.0
145,Taiwan Conflict,Mandarin Chinese,Reverse,0,deepseek-v4-flash,CN,Neutral,Neutral,Neutral,0,0,0,0,0,0.0
146,Taiwan Conflict,Mandarin Chinese,Reverse,0,deepseek-v4-flash,CN,Neutral,Neutral,Neutral,0,0,0,0,0,0.0
147,Taiwan Conflict,English,Affirmative,0,gemini-3.1-flash-lite,US,Neutral,Neutral,Neutral,0,0,0,0,0,0.0
148,Taiwan Conflict,English,Affirmative,0,gemini-3.1-flash-lite,US,Neutral,Neutral,Neutral,0,0,0,0,0,0.0
149,Taiwan Conflict,English,Affirmative,0,gemini-3.1-flash-lite,US,Neutral,Neutral,Neutral,0,0,0,0,0,0.0
150,Taiwan Conflict,Mandarin Chinese,Reverse,0,gemini-3.1-flash-lite,US,Neutral,Neutral,Neutral,0,0,0,0,0,0.0
